Disease,All Symptoms
chicken pox,"nan, itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body, nan, itching,  skin_rash,  fatigue,  lethargy,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body, nan, itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  swelled_lymph_nodes,  malaise,  red_spots_over_body, nan, itching,  skin_rash,  fatigue,  lethargy,  high_fever,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body, nan,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body, nan, itching,  skin_rash,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body, nan, itching,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body, nan, itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  malaise,  red_spots_over_body, nan, itching,  skin_rash,  fatigue,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body, nan, itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body, itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body, itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, swelled_lymph_nodes, malaise, red_spots_over_body, itching, skin_rash, fatigue, lethargy, high_fever, headache, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body, itching, skin_rash, fatigue, lethargy, high_fever, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body, itching, skin_rash, fatigue, lethargy, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body, itching, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body, itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, malaise, red_spots_over_body, itching, skin_rash, fatigue, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body, itching, skin_rash, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body, itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body, itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body"
hepatitis e,"nan,  joint_pain,  vomiting,  fatigue,  high_fever,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding, nan,  joint_pain,  vomiting,  fatigue,  high_fever,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding, nan,  joint_pain,  vomiting,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding, nan,  joint_pain,  vomiting,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  coma,  stomach_bleeding, nan,  joint_pain,  vomiting,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding, nan,  joint_pain,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding, nan,  joint_pain,  vomiting,  fatigue,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding, nan,  vomiting,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding, nan,  joint_pain,  vomiting,  high_fever,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding, joint_pain, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding, joint_pain, vomiting, fatigue, high_fever, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, coma, stomach_bleeding, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding, joint_pain, vomiting, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding"
hepatitis b,"pain, fatigue, fever, pain, itching,  lethargy,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion,  receiving_unsterile_injections, pain, fatigue, fever, pain, itching,  fatigue,  lethargy,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion,  receiving_unsterile_injections, pain, fatigue, fever, pain, itching,  fatigue,  lethargy,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion,  receiving_unsterile_injections, pain, fatigue, fever, pain, itching,  fatigue,  lethargy,  yellowish_skin,  dark_urine,  abdominal_pain,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion,  receiving_unsterile_injections, pain, fatigue, fever, pain, itching,  fatigue,  lethargy,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion,  receiving_unsterile_injections, pain, fatigue, fever, pain, itching,  fatigue,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion,  receiving_unsterile_injections, pain, fatigue, fever, pain,  fatigue,  lethargy,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion,  receiving_unsterile_injections, pain, fatigue, fever, pain, itching,  fatigue,  lethargy,  yellowish_skin,  dark_urine,  loss_of_appetite,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion,  receiving_unsterile_injections, pain, fatigue, fever, pain, itching,  fatigue,  lethargy,  yellowish_skin,  loss_of_appetite,  abdominal_pain,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion,  receiving_unsterile_injections, itching, fatigue, lethargy, yellowish_skin, dark_urine, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections, itching, fatigue, lethargy, yellowish_skin, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections, itching, fatigue, lethargy, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections, itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections, itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections, itching, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections, itching, fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections, itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections, dark urine, joint pain, loss of appetite, abdominal pain, itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections, itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections"
pneumonia,"Cough with phlegm or pus, fever, chills, difficulty breathing, fatigue, chest pain when breathing, nausea, vomiting, confusion in older adults,  fatigue,  cough,  high_fever,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum, Cough with phlegm or pus, fever, chills, difficulty breathing, fatigue, chest pain when breathing, nausea, vomiting, confusion in older adults,  chills,  fatigue,  cough,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum, Cough with phlegm or pus, fever, chills, difficulty breathing, fatigue, chest pain when breathing, nausea, vomiting, confusion in older adults,  chills,  fatigue,  cough,  high_fever,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum, Cough with phlegm or pus, fever, chills, difficulty breathing, fatigue, chest pain when breathing, nausea, vomiting, confusion in older adults,  chills,  fatigue,  cough,  high_fever,  breathlessness,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum, Cough with phlegm or pus, fever, chills, difficulty breathing, fatigue, chest pain when breathing, nausea, vomiting, confusion in older adults,  chills,  cough,  high_fever,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum, Cough with phlegm or pus, fever, chills, difficulty breathing, fatigue, chest pain when breathing, nausea, vomiting, confusion in older adults,  chills,  fatigue,  cough,  high_fever,  breathlessness,  sweating,  malaise,  chest_pain,  fast_heart_rate,  rusty_sputum, Cough with phlegm or pus, fever, chills, difficulty breathing, fatigue, chest pain when breathing, nausea, vomiting, confusion in older adults,  chills,  fatigue,  cough,  high_fever,  breathlessness,  sweating,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum, Cough with phlegm or pus, fever, chills, difficulty breathing, fatigue, chest pain when breathing, nausea, vomiting, confusion in older adults,  chills,  fatigue,  high_fever,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum, Cough with phlegm or pus, fever, chills, difficulty breathing, fatigue, chest pain when breathing, nausea, vomiting, confusion in older adults,  chills,  fatigue,  cough,  high_fever,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum, chills, fatigue, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum, chills, fatigue, cough, high_fever, breathlessness, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, chest_pain, fast_heart_rate, rusty_sputum, chills, fatigue, cough, high_fever, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum, chills, fatigue, cough, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum, chills, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum, chills, fatigue, cough, high_fever, breathlessness, sweating, phlegm, chest_pain, fast_heart_rate, rusty_sputum, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum"
malaria,"fever, fatigue, fever, fatigue, chills, pain, fever, headache, fatigue, chills, nausea, vomiting, fever, headache, fatigue, nausea, vomiting, fever, headache, fever, fever, chills, fatigue, body ache, headache,  chills,  vomiting,  high_fever,  sweating,  headache,  diarrhoea,  muscle_pain, fever, fatigue, fever, fatigue, chills, pain, fever, headache, fatigue, chills, nausea, vomiting, fever, headache, fatigue, nausea, vomiting, fever, headache, fever, fever, chills, fatigue, body ache, headache,  chills,  high_fever,  sweating,  headache,  nausea,  diarrhoea,  muscle_pain, fever, fatigue, fever, fatigue, chills, pain, fever, headache, fatigue, chills, nausea, vomiting, fever, headache, fatigue, nausea, vomiting, fever, headache, fever, fever, chills, fatigue, body ache, headache,  chills,  vomiting,  high_fever,  headache,  nausea,  diarrhoea,  muscle_pain, fever, fatigue, fever, fatigue, chills, pain, fever, headache, fatigue, chills, nausea, vomiting, fever, headache, fatigue, nausea, vomiting, fever, headache, fever, fever, chills, fatigue, body ache, headache,  chills,  vomiting,  high_fever,  sweating,  headache,  nausea,  muscle_pain, fever, fatigue, fever, fatigue, chills, pain, fever, headache, fatigue, chills, nausea, vomiting, fever, headache, fatigue, nausea, vomiting, fever, headache, fever, fever, chills, fatigue, body ache, headache,  chills,  vomiting,  high_fever,  sweating,  nausea,  diarrhoea,  muscle_pain, fever, fatigue, fever, fatigue, chills, pain, fever, headache, fatigue, chills, nausea, vomiting, fever, headache, fatigue, nausea, vomiting, fever, headache, fever, fever, chills, fatigue, body ache, headache,  chills,  vomiting,  sweating,  headache,  nausea,  diarrhoea,  muscle_pain, fever, fatigue, fever, fatigue, chills, pain, fever, headache, fatigue, chills, nausea, vomiting, fever, headache, fatigue, nausea, vomiting, fever, headache, fever, fever, chills, fatigue, body ache, headache,  vomiting,  high_fever,  sweating,  headache,  nausea,  diarrhoea,  muscle_pain, fever, fatigue, fever, fatigue, chills, pain, fever, headache, fatigue, chills, nausea, vomiting, fever, headache, fatigue, nausea, vomiting, fever, headache, fever, fever, chills, fatigue, body ache, headache,  chills,  vomiting,  high_fever,  sweating,  headache,  nausea,  diarrhoea,  muscle_pain, chills, vomiting, sweating, headache, nausea, diarrhoea, muscle_pain, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain, chills, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain, chills, vomiting, high_fever, sweating, nausea, diarrhoea, muscle_pain, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain, chills, vomiting, high_fever, sweating, headache, diarrhoea, muscle_pain, chills, vomiting, high_fever, headache, nausea, diarrhoea, muscle_pain, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain"
dengue,"fever, fatigue, rash, pain, fatigue, fever, rash, pain, fever, pain,  skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain,  red_spots_over_body, fever, fatigue, rash, pain, fatigue, fever, rash, pain, fever, pain,  skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain, fever, fatigue, rash, pain, fatigue, fever, rash, pain, fever, pain,  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain,  red_spots_over_body, fever, fatigue, rash, pain, fatigue, fever, rash, pain, fever, pain,  skin_rash,  chills,  joint_pain,  vomiting,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain,  red_spots_over_body, fever, fatigue, rash, pain, fatigue, fever, rash, pain, fever, pain,  skin_rash,  chills,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain,  red_spots_over_body, fever, fatigue, rash, pain, fatigue, fever, rash, pain, fever, pain,  skin_rash,  chills,  joint_pain,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain,  red_spots_over_body, fever, fatigue, rash, pain, fatigue, fever, rash, pain, fever, pain,  skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  red_spots_over_body, fever, fatigue, rash, pain, fatigue, fever, rash, pain, fever, pain,  skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain,  red_spots_over_body, fever, fatigue, rash, pain, fatigue, fever, rash, pain, fever, pain,  skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  muscle_pain,  red_spots_over_body, fever, fatigue, rash, pain, fatigue, fever, rash, pain, fever, pain,  skin_rash,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain,  red_spots_over_body, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, red_spots_over_body, skin_rash, chills, joint_pain, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body, skin_rash, chills, joint_pain, vomiting, fatigue, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body, skin_rash, chills, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body, skin_rash, chills, joint_pain, vomiting, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, skin_rash, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, muscle_pain, red_spots_over_body, muscle pain, severe headache, bleeding gums, joint pain, muscle pain, severe headache, bleeding gums, joint pain, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body"
common cold,"Sneezing, runny nose, congestion, sore throat, mild cough, watery eyes, low-grade fever, mild body aches, headaches, fatigue,  continuous_sneezing,  chills,  fatigue,  cough,  headache,  swelled_lymph_nodes,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain, Sneezing, runny nose, congestion, sore throat, mild cough, watery eyes, low-grade fever, mild body aches, headaches, fatigue,  chills,  fatigue,  cough,  high_fever,  headache,  swelled_lymph_nodes,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain, Sneezing, runny nose, congestion, sore throat, mild cough, watery eyes, low-grade fever, mild body aches, headaches, fatigue,  continuous_sneezing,  chills,  fatigue,  cough,  high_fever,  headache,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain, Sneezing, runny nose, congestion, sore throat, mild cough, watery eyes, low-grade fever, mild body aches, headaches, fatigue,  continuous_sneezing,  chills,  fatigue,  cough,  high_fever,  swelled_lymph_nodes,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain, Sneezing, runny nose, congestion, sore throat, mild cough, watery eyes, low-grade fever, mild body aches, headaches, fatigue,  continuous_sneezing,  chills,  cough,  high_fever,  headache,  swelled_lymph_nodes,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain, Sneezing, runny nose, congestion, sore throat, mild cough, watery eyes, low-grade fever, mild body aches, headaches, fatigue,  continuous_sneezing,  chills,  fatigue,  cough,  high_fever,  headache,  swelled_lymph_nodes,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain, Sneezing, runny nose, congestion, sore throat, mild cough, watery eyes, low-grade fever, mild body aches, headaches, fatigue,  continuous_sneezing,  fatigue,  cough,  high_fever,  headache,  swelled_lymph_nodes,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain, Sneezing, runny nose, congestion, sore throat, mild cough, watery eyes, low-grade fever, mild body aches, headaches, fatigue,  continuous_sneezing,  chills,  fatigue,  cough,  high_fever,  headache,  swelled_lymph_nodes,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain, Sneezing, runny nose, congestion, sore throat, mild cough, watery eyes, low-grade fever, mild body aches, headaches, fatigue,  continuous_sneezing,  chills,  fatigue,  high_fever,  headache,  swelled_lymph_nodes,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain, continuous_sneezing, chills, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain, continuous_sneezing, chills, fatigue, cough, high_fever, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain, continuous_sneezing, chills, fatigue, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain, continuous_sneezing, chills, fatigue, cough, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain, continuous_sneezing, chills, fatigue, cough, high_fever, headache, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain, continuous_sneezing, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain, sore throat, mild fever, congestion, body aches, sore throat, mild fever, congestion, body aches, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
tuberculosis,"Persistent cough, Coughing up blood or mucus, Chest pain, Fever, Chills, Night sweats, Weight loss, Loss of appetite, Fatigue"
migraine,"Severe throbbing pain on one side of the head, Nausea, Vomiting, Sensitivity to light and sound, Visual disturbances (aura)"
diabetes,"Increased thirst, Frequent urination, Unintended weight loss, Fatigue, Blurred vision, Slow-healing sores, Tingling or numbness in hands or feet, Red or swollen gums, Increased hunger"
hypertension,"headaches, shortness of breath, nosebleeds, chest pain, dizziness"
asthma,"Shortness of breath, Chest tightness, Wheezing, Trouble sleeping, Coughing worsened by respiratory infections"
tuberculosis,"Persistent cough, Coughing up blood or mucus, Chest pain, Fever, Chills, Night sweats, Weight loss, Loss of appetite, Fatigue"
